Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1631-VE-03C6;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Notamenti, 25, ff. 32v-33r;Consiglio Collaterale;Unknown;1632-03-29;Naples;;;Order for the execution of fiscal suspension for 10 years for the towns and villages Ottaviano, Lauro, Palma, Sarno, Striano, Roccarainola, Cicciano, terra Trocchia Pollena, Boscoreale, Torre Annunziata, Torre del Greco, san Giorgio a Cremano;Italian;;;;;;;;;;;
M-1631-VE-03C7;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 109, ff. 46v-47r;Consiglio Collaterale;Governor of Somma;1632-03-31;Naples;;;"Order to assess the economic damages and to elect two wealthy persons to support the necessary expenses; send to the Collaterale a detailed report";Italian;;;;;;;;;;;
M-1631-VE-03C8;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 109, ff. 47v-48r;Consiglio Collaterale;Marquis of Vico;1632-03-31;Naples;;;Order to go to Somma and to provide, together with the ordinary engineer of the roads, to protect the valleys destroyed by the eruption;Italian;;;;;;;;;;;
M-1631-VE-03C9;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Regia Camera della Sommaria, viglietti originali, 9;Camera della Sommaria;Unknown;1632-05-11;Naples;;;Organization of the procession for San Gennaro for May 20th;Italian;;;;;;;;;;;
M-1631-VE-03CA;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Regia Camera della Sommaria, Consultazioni, 38, ff. 142r-144r;Camera della Sommaria;Unknown;1632-05-19;Naples;;;Consulta (written advice) on the verification of damages in the towns and villages of Candelaro, Ponte Albanito, Castiglione, Casalnovo, le Cave, la Procina, Rignano, Sant’Andrea, Lesina and la Guardiola following the request of the Dogana of Foggia for a reduction in taxes;Italian;;;;;;;;;;;
M-1631-VE-03CB;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 110, ff. 18v- 19r-v;Consiglio Collaterale;"Governor of Principato Ultra; Governor of Calabria Citra; Governor of Calabria Ultra; Governor of Abruzzo; Governor of Terra de Bari; Governor of Terra d’Otranto; Governor of Capitanata; Governor of Contado del Molise; Governor of Principato Citra; Governor of Basilicata";1632-06-18;Naples;;;Order of perpetual celebration to Christ and the Virgin for every Sunday of the year;Italian;;;;;;;;;;;
M-1631-VE-03CC;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Segreterie dei Viceré, viglietti originali, 37;Morra, Giovanni Battista;Acevedo y Zúñiga, Manuel de;1632-10-29;;1632-10-30;Naples;Request for an assignment for the financial support of the family damaged by the eruption;Italian;;;;;;;;;;;
M-1631-VE-03CD;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 109, ff. 56v-57r;Consiglio Collaterale;Dogana of Foggia;1632-10-30;Naples;;Foggia;Consulta (written advice) on the maintenance of the ordinary collection of taxes in the towns and villages under the jurisdiction of the Dogana of Foggia with the agreement of a deferred payment;Italian;;;;;;;;;;;
M-1631-VE-03CE;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Regia Camera della Sommaria, Carte Reali, 2, ff. 197r-v;Philip IV;Acevedo y Zúñiga, Manuel de;1632-12-31;Madrid;;Naples;Order of assignment to the Collaterale and the Sommaria about the measures to be adopted for the damaged towns and villages;Spanish;;;;;;;;;;;
M-1631-VE-03CF;1631 Vesuvius Eruption;Archivio di Stato di Napoli, Consiglio Collaterale, Curiae, 110, ff. 74r-76r;Consiglio Collaterale;"Governor of Capitanata; Governor of Contado di Molise";1635-03-10;Naples;;;Order of celebration of perpetual prayers for every Sunday of the year;Italian;;;;;;;;;;;
M-1631-VE-0676;1631 Vesuvius Eruption;Archivo General de Simancas, Estado, Legajo 8793, fols. 297r-298r;Unknown;Consejo de Estado;1631-12-16-1631-12-23;Naples;;Madrid;In this paper, titled 'Copia de las cartas que vinieron de Nápoles que contienen los subçesos y destruçion que hiço el bolcan del monte de Somma', are copied a few reports sent to the Viceroy, apparently, from 16 to 23 december 1631. These reports provide information on the physical features of the eruption, the early hypotheses of witnesses regarding its origin and the popular' rumours, the reactions of the population and of the authorities';Spanish;;;;INTERPRETAZIONE→Osservazioni empiriche;;;;;;;
M-1638-CA-03D0;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Curiae, busta 112, ff.18v-19v;Consiglio Collaterale;Capacelatro, Ettore;1638-04-22;Naples;;;Appointment of special commissioner on earthquake - Ettore Capacelatro;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1638-CA-03D1;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Cancelleria e Consiglio, Collaterale, Cancelleria, Curiae, busta 112, ff.66r-73v;Consiglio Collaterale;Núñez de Guzmán, Ramiro;1639-12-17;Naples;;;Collaterale Council meeting notes;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Report on damages from epicenter;;;;;;
M-1638-CA-03D2;1638 Calabria Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-102, f. 91r-v;Cybo d'Este, Carlo;Méndez de Haro, Luis;1652-09-21;Massa (Tuscany);;Madrid;As the feudal Lord of Ajello, a town in Calabria, the Prince of Massa, on behalf of his subjects, begs the Viceroy to grant tax relief to the town still suffering the consequences of the earthquake, such as poverty and depopulation. To reinforce his request, the prince recalled that during the 1647 revolt, the Ajello inhabitants were loyal to Spain.;Italian;M-1638-CA-03D3 / 1638 Calabria Earthquake / The Royal officer confirms that the town of Ajello was damaged by the earthquake and thatthat during the 1647 revolt, the Ajello inhabitants were loyal to Spain;;;;;;;;;;
M-1638-CA-03D3;1638 Calabria Earthquake;Madrid, Biblioteca de la Real Academia de la Historia, Colección Salazar y Castro, A-102, f. 92r-v;Capecelatro, Francesco;Méndez de Haro, Luis;1651-12-02;Cosenza;;Madrid;The Royal officer confirms that the town of Ajello was damaged by the earthquake and thatthat during the 1647 revolt, the Ajello inhabitants were loyal to Spain;Italian;M-1638-CA-03D2 / 1638 Calabria Earthquake / As the feudal Lord of Ajello, a town in Calabria, the Prince of Massa, on behalf of his subjects, begs the Viceroy to grant tax relief to the town still suffering the consequences of the earthquake, such as poverty and depopulation. To reinforce his request, the prince recalled that during the 1647 revolt, the Ajello inhabitants were loyal to Spain.;;;;;;;;;;
M-1638-CA-06D1;1638 Calabria Earthquake;Simancas, Archivo General de Simancas, Secretarías Provinciales, Nápoles, legajo 19, s.f.;Consejo de Italia;Philip IV;1638-07-30;Madrid;;;Notice from the Consejo de Italia regarding the dispatch from the Viceroy of Naples, Duke Medina de las Torres, of 12 April warning of the very serious damage caused by the earthquake and the first measures taken.;Spanish;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1638-CA-06D2;1638 Calabria Earthquake;Simancas, Archivo General de Simancas, Secretarías Provinciales, Nápoles, legajo 19, s. f.;Consejo de Italia;Philip IV;1638-08-12;Madrid;;;Notice of the letter from the lieutenant of the Camera della Sommaria, Alonso de la Carrera, representing to the king the heavy effects that the destruction would have on the kingdom's coffers due to the sharp decrease in tax revenues and customs duties.;Spanish;;;;INTERPRETAZIONE→Punizione per i peccati degli uomini;;;;;;;
M-1638-CA-06D4;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Ruote, Consultationum, vol.41;Regia Camera della Sommaria;;1638-04-13;Naples;;;The spending measures decided by the Regia Camera della Sommaria related to the organisation of the mission of Capecelatro, in charge of assessing the damage suffered by each town and organising first aid to the damaged population, and some special measures related to tax relief.;Italian;;1631 Vesuvius Eruption;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1638-CA-06D5;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Regia Camera della Sommaria, Ruote, Notamentorum, fascio 296;Regia Camera della Sommaria;;1639-05-20;Naples;;;Memorandum of the Camera della Sommaria concerning financial measures granted to certain localities in Calabria damaged by the earthquake;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1638-CA-06D6;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol.98;Luzzi, Antonio Maria;Núñez de Guzmán, Ramiro;1638-09-17;Bisignano;;Naples;Antonio Maria Luzzi and companions of the city of Bisignano petition the Viceroy of Naples to obtain tax exemptions following the damage caused by the earthquakes of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1638-CA-06D7;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol.96;Università of San Pietro in Guarano;Núñez de Guzmán, Ramiro;1639-09-22;San Pietro in Guarano;;Naples;The Università di San Pietro in Guarano petitioned the Viceroy of Naples for relief from the imposition of taxes and sales concessions established to cope with needs after the earthquake of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1638-CA-06D8;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol.101;"Università of Cellara; Università of Piane";Núñez de Guzmán, Ramiro;1640-03-02;"Cellara; Piane";;Naples;The Università di Cellara and Piane petition the Viceroy of Naples to use the revenue from the meat tax to rebuild the parish churches destroyed in the 1638 earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1638-CA-06D9;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol.99;"Università of Figline; Università of Francolise";Núñez de Guzmán, Ramiro;;"Figline; Francolise";;Naples;The Università di Figline and Francolise petitioned the Viceroy of Naples to use the revenue from the meat tax to rebuild the parish church of S. Giovanni Battista destroyed in the earthquake of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1638-CA-06DA;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol.99;"Università of Figline; Università of Francolise; Università of Cellara; Università of Piane";Núñez de Guzmán, Ramiro;1639-05-18;"Figline; Francolise; Cellara; Piane";;Naples;Petition of the casali of Cosenza to the Viceroy of Naples to use the revenue from the sale of taxes to rebuild the parish churches destroyed in the 1638 earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1638-CA-06DB;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol.92;Università of Paola;Núñez de Guzmán, Ramiro;1638-04-28;Paola;;Naples;The Università di Paola petitioned the Viceroy of Naples to institute an annual offering to the Monastery of St Francis of Paola in thanksgiving for protecting the city from the earthquake of 27 March 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Figure eroiche/Gesti salvifici;;;;;;;
M-1638-CA-06DC;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol.92;Università of Catanzaro;Núñez de Guzmán, Ramiro;1638-07-27;Catanzaro;;Naples;The deputies of the city of Catanzaro petition the Viceroy of Naples to use the revenue from the meat tax to rebuild the Cathedral and the Palace of the Royal Audience damaged in the 1638 earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Pianificazione urbana e architettonica;;;;;;;
M-1638-CA-06DD;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Decretorum, vol. 99;Università of Sambiase;Núñez de Guzmán, Ramiro;1639-06-10;Sambiase;;Naples;The sindaci of Sambiase petitioned the Viceroy of Naples for approval of taxes established to provide for the needs after the earthquake of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Misure preventive;;;;;;;
M-1638-CA-06DE;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Viceré, Scritture diverse della Segreteria, fascio 69;Università of Amantea;Núñez de Guzmán, Ramiro;1638-07-28;Amantea;;Naples;The Università of Amantea petitioned the Viceroy of Naples to obtain exemption from housing the military following the damage caused by the earthquake of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1638-CA-06DF;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Viceré, Scritture diverse della Segreteria, fascio 71;Branciforte, Michele;Núñez de Guzmán, Ramiro;;Galatro;;Naples;Letter from the Governor of Calabria Ultra to the Viceroy of Naples regarding the fiscal status of the Università of Feroleto damaged by the earthquake of 1638.;Spanish;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1638-CA-06E0;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Viceré, Scritture diverse della Segreteria, fascio 75;Cassulini, Flavio;Núñez de Guzmán, Ramiro;1638-12-12;Cosenza;;Naples;Memorandum from the Attorney for the Poor of the Province of Calabria Citra to the Viceroy of Naples on the abuses committed by certain magistrates of Cosenza following the damage to the prison building by the earthquake of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1638-CA-06E1;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Viceré, Scritture diverse della Segreteria, fascio 74;Celestini, Geronimo;Marquis of Belmonte;1639-01-09;Naples;;;Case relating to the dispute between various tax collectors for the collection of taxes in the lands of Rogliano and Scigliano damaged by the earthquake of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Conflitti di giurisdizione;;;;;;;
M-1638-CA-06E2;1638 Calabria Earthquake;Naples, Archivio di Stato di Napoli, Viceré, Scritture diverse della Segreteria, fascio 75;Salinas, Alfonso;Núñez de Guzmán, Ramiro;1639-02-04;Naples;;;The judge of Amantea petitioned the viceroy of Naples for exemption from payment for his office following the damage caused by the earthquake of 1638.;Italian;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1638-CA-06E3;1638 Calabria Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, Manoscritti, Fondo San Martino, Aggiunti;Blanch, Giovanni Tommaso;;1638-04-28;Sant’Eufemia;;;Authorisation of the Lieutenant and Vicar General of the province of Calabria Ulterior in favour of Francesco della Ratta to visit the earthquake-affected towers of Nicastro.;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Controllare la collocazione in Biblioteca nazionale;;;;;;
M-1638-CA-06E4;1638 Calabria Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, Manoscritti, Fondo San Martino, Aggiunti,;Blanch, Giovanni Tommaso;;1638-04-28;Pizzo;;;Authorisation of the Lieutenant and Vicar General of the Province of Calabria Ulterior in favour of Giovanni Pietro di Paula to verify the numbers of the soldiers of the Paranza of Nicastro after the earthquake.;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Controllare la collocazione in biblioteca nazionale;;;;;;
M-1638-CA-06E5;1638 Calabria Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, Manoscritti, Fondo San Martino, Aggiunti;Blanch, Giovanni Tommaso;;1638-04-30;Pizzo;;;Authorisation of the Lieutenant and Vicar General of the province of Calabria Ulterior in favour of Giovanni De Polo De Hamis to conduct a visit to the earthquake-damaged towers between Pizzo and Tropea;Italian;;;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;Controllare la collocazione in biblioteca nazionale.;;;;;;
